run_name,date,ablation_id,model_variant,backbone,input_type,num_frames,pgm_smoother,lambda_smooth,information_matrix,use_alpha,classifier,batch_size,lr,epochs,best_val_top1,best_val_epoch,test_top1,checkpoint_best,run_dir,notes
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_8e56,2026-05-20T03:55:51,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,1e-4,30,0.15696564885496184,26,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_8e56/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_8e56,RunPod full training launcher run.
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_77dd,2026-05-20T03:59:36,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,1e-4,30,0.15696564885496184,17,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_77dd/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_77dd,RunPod full training launcher run.
2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_f9c8,2026-05-20T04:02:32,E1,diff_only,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,64,1e-4,30,0.1650763358778626,20,,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_f9c8/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_f9c8,RunPod full training launcher run.
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_37f0,2026-05-20T04:05:50,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,1e-4,30,0.15696564885496184,26,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_37f0/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_37f0,RunPod full training launcher run.
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_01a1,2026-05-20T04:09:14,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,1e-4,30,0.15696564885496184,17,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_01a1/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_01a1,RunPod full training launcher run.
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_975a,2026-05-20T04:48:41,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,5e-05,50,0.15648854961832062,31,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_975a/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_975a,RunPod full training launcher run.
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_5a99,2026-05-20T04:54:24,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,5e-05,50,0.14885496183206107,36,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_5a99/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_5a99,RunPod full training launcher run.
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_2a1c,2026-05-20T05:23:11,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,5e-05,50,0.15410305343511452,42,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_2a1c/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_2a1c,"Compact E3/E4 test: d_y=64, diff hidden=128, K=8, d_h=64, classifier hidden=128."
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_105a,2026-05-20T05:29:06,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,5e-05,50,0.14980916030534353,42,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_105a/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_105a,"Compact E3/E4 test: d_y=64, diff hidden=128, K=8, d_h=64, classifier hidden=128."
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_11a3,2026-05-20T05:43:53,E3,diff_pgm_info,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,16,0.0001,3,0.0,3,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_11a3/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_11a3,Small real ablation launcher run.
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_c67d,2026-05-20T05:43:54,E4,diff_pgm_info_attention,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,16,0.0001,3,0.0,3,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_c67d/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_c67d,Small real ablation launcher run.
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_54c1,2026-05-20T15:46:33,E3,diff_pgm_info,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,5e-05,50,0.08492366412213741,7,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_54c1/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_54c1,RunPod full training launcher run.
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_62d4,2026-05-20T15:53:16,E4,diff_pgm_info_attention,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,5e-05,50,0.08874045801526717,17,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_62d4/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_62d4,RunPod full training launcher run.
2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_a7ff,2026-05-20T15:54:22,E0,mean_pool_baseline,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,none,,none,False,mlp,64,1e-05,20,0.050095419847328244,8,,/workspace/PGM_project/outputs/runs/2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_a7ff/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_a7ff,RunPod full training launcher run.
2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_fd10,2026-05-20T15:54:51,E1,diff_only,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,none,,none,False,mlp,64,1e-05,20,0.12022900763358779,20,,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_fd10/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_fd10,RunPod full training launcher run.
2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_ee19,2026-05-20T17:47:52,E1,diff_only,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,none,,none,False,mlp,64,1e-05,30,0.09494274809160305,25,,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_ee19/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_ee19,"Tiny ResNet50 global-feature test: d_y=32, diff hidden=64, K=4, d_h=32, eta=0.5, stronger dropout/weight decay."
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_80c6,2026-05-20T17:51:28,E3,diff_pgm_info,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,1e-05,30,0.0691793893129771,26,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_80c6/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_80c6,"Tiny ResNet50 global-feature test: d_y=32, diff hidden=64, K=4, d_h=32, eta=0.5, stronger dropout/weight decay."
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_ac8c,2026-05-20T17:55:29,E4,diff_pgm_info_attention,precomputed_resnet50,precomputed_resnet50_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,1e-05,30,0.07633587786259542,28,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_ac8c/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_ac8c,"Tiny ResNet50 global-feature test: d_y=32, diff hidden=64, K=4, d_h=32, eta=0.5, stronger dropout/weight decay."
